B38_Median,,B38_upper,,B38_lower,,I2_median,,I2_upper,,I2_lower,,B8_median,,B8_upper,,B8_lower,,B6B9_median,,B6B9_Upper,,B6B9_lower,,B3_median,,B3_upper,,B3_lower,,B4B5_median,,B4B5_upper,,B4B5_lower,,Force_median,,Force_upper,,Force_lower,,StartPoint,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.179530201,11.91919192,0.261744966,10.90909091,0.223154362,7.878787879,0.238407369,12.63966829,0.139286559,8.74267365,0.264030436,11.50304485,0.438671864,21.66846708,0.391471478,26.97325103,0.453506271,17.97119342,0.632719282,17.21529086,0.572100878,20.28045878,0.647537115,10.67626596,0.69273743,5.423728814,0.69273743,8.898305085,0.819832402,1.779661017,0.424581006,12.77310924,0.400837989,19.15966387,0.470670391,6.890756303,0.184809635,45.30812325,0.152758353,64.56582633,0.202292152,33.05322129,,
0.191275168,12.32323232,0.273489933,9.696969697,0.231543624,7.272727273,0.247173155,12.5584809,0.144680889,9.554547533,0.272121931,11.25948269,0.44743765,21.50771605,0.401585847,26.33024691,0.462272057,17.16743827,0.638107585,18.64570255,0.581530407,22.52824859,0.654946031,11.28929954,0.701117318,5.084745763,0.703910615,8.644067797,0.826815642,1.525423729,0.430167598,12.77310924,0.406424581,18.48739496,0.470670391,5.714285714,0.198407148,45.30812325,0.160528361,62.81512605,0.202292152,33.05322129,,
0.19966443,11.71717172,0.290268456,8.282828283,0.241610738,7.676767677,0.25526465,12.5584809,0.152098092,10.4476088,0.278864843,10.77235836,0.453506271,20.38245885,0.411025924,25.84799383,0.469689261,16.2029321,0.64282235,20.07611425,0.593654088,24.36734934,0.663028485,11.28929954,0.705307263,4.830508475,0.715083799,8.728813559,0.836592179,1.186440678,0.437150838,12.77310924,0.412011173,17.98319328,0.473463687,5.042016807,0.212004662,47.05882353,0.169269619,55.81232493,0.215889666,33.05322129,,
0.209731544,11.11111111,0.303691275,7.474747475,0.256711409,7.272727273,0.262007562,13.04560523,0.159515296,11.25948269,0.284933464,10.04167186,0.459574892,20.54320988,0.423163166,26.00874486,0.475083591,17.3281893,0.650231266,21.915215,0.605104231,25.18472745,0.669763863,11.49364407,0.712290503,5.084745763,0.729050279,8.983050847,0.843575419,0.847457627,0.439944134,12.10084034,0.417597765,17.81512605,0.479050279,4.369747899,0.224630925,47.05882353,0.178982129,57.56302521,0.23045843,33.05322129,,
0.22147651,10.50505051,0.322147651,6.262626263,0.270134228,6.060606061,0.266727601,13.04560523,0.160863878,11.8277944,0.291002085,9.554547533,0.467666387,20.22170782,0.431254661,25.52649177,0.48047792,16.84593621,0.656293106,23.14128217,0.61183961,26.41079462,0.677846317,12.10667765,0.716480447,5.508474576,0.740223464,8.813559322,0.856145251,0.593220339,0.444134078,11.93277311,0.424581006,18.31932773,0.480446927,3.697478992,0.238228438,47.05882353,0.191608392,61.06442577,0.245027195,33.05322129,,
0.236577181,9.696969697,0.337248322,5.656565657,0.286912752,5.050505051,0.272121931,12.72085568,0.164909626,11.90898179,0.296396415,9.554547533,0.475083591,21.02546296,0.437997573,24.72273663,0.489917998,16.2029321,0.665049098,22.52824859,0.619922064,27.63686179,0.685928771,13.12840029,0.720670391,5.847457627,0.75,8.644067797,0.865921788,0.338983051,0.44972067,12.10084034,0.430167598,18.65546218,0.487430168,3.361344538,0.253768454,48.80952381,0.191608392,61.06442577,0.25959596,34.80392157,,
0.246644295,8.686868687,0.352348993,4.646464646,0.30033557,4.04040404,0.275493387,13.37035478,0.165583917,11.99016918,0.306510783,9.798109698,0.482500794,20.70396091,0.445414776,24.40123457,0.498009492,15.39917695,0.674478628,22.73259312,0.625310366,29.68030707,0.694684763,13.74143388,0.729050279,5.847457627,0.762569832,8.644067797,0.877094972,0.254237288,0.452513966,12.43697479,0.43575419,18.1512605,0.494413408,2.857142857,0.267365967,48.80952381,0.20034965,62.81512605,0.274164724,34.80392157,,
0.260067114,8.080808081,0.367449664,3.434343434,0.313758389,3.232323232,0.28291059,13.37035478,0.165583917,12.39610612,0.313927987,9.554547533,0.491940871,20.06095679,0.456877727,24.40123457,0.504752405,14.75617284,0.682561082,23.95866028,0.632719282,31.3150633,0.70478783,14.55881199,0.737430168,5.93220339,0.772346369,8.559322034,,,0.458100559,11.59663866,0.445530726,17.4789916,0.502793296,2.352941176,0.280963481,45.30812325,0.209090909,61.06442577,0.287762238,36.55462185,,
0.271812081,7.676767677,0.377516779,2.424242424,0.323825503,2.626262626,0.292350668,13.28916739,0.165583917,13.20798001,0.322019482,9.148610592,0.503403822,19.73945473,0.462946348,24.07973251,0.512169608,14.59542181,0.68929646,25.59341651,0.640128198,31.72375235,0.712870284,14.96750105,0.747206704,5.847457627,0.783519553,8.474576271,,,0.463687151,10.92436975,0.452513966,16.97478992,0.509776536,2.352941176,0.294560995,48.80952381,0.218803419,62.81512605,0.305244755,36.55462185,,
0.285234899,6.868686869,0.394295302,1.414141414,0.333892617,1.616161616,0.29909358,13.20798001,0.169629664,13.61391695,0.330785268,8.580298874,0.511495317,18.93569959,0.475083591,23.75823045,0.519586812,13.79166667,0.694011225,26.20645009,0.652251879,32.74547499,0.7202792,15.17184557,0.754189944,5.508474576,0.793296089,8.305084746,,,0.472067039,10.25210084,0.460893855,17.31092437,0.509776536,2.352941176,0.307187257,47.05882353,0.227544678,62.81512605,0.320784771,36.55462185,,
