B38_Median,,B38_upper,,B38_lower,,I2_median,,I2_upper,,I2_lower,,B8ab_median,,B8ab_upper,,B8ab_lower,,B6B9_median,,B6B9_upper,,B6B9_lower,,B3_median,,B3_upper,,B3_lower,,B4B5_median,,B4B5_upper,,B4B5_lower,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
-6.812500000000009,4.507042253521121,-6.640625000000009,11.830985915492953,-6.125000000000009,0.8450704225352084,-6.203125000000009,6.111111111111107,-6.562500000000009,10.277777777777779,-6.015625000000009,1.9444444444444358,-4.578125000000007,14.64788732394365,-4.531250000000006,24.225352112676063,-4.359375000000006,11.83098591549296,-2.9531250000000044,17.605633802816897,-3.2187500000000053,15.49295774647885,-3.0312500000000044,7.746478873239425,,,-2.031746031746036,3.943661971830984,,,-4.406250000000007,6.944444444444429,-4.578125000000007,11.666666666666657,-4.234375000000006,5
-6.765625000000009,5.070422535211264,-6.578125000000009,12.957746478873233,-6.062500000000009,1.408450704225345,-6.156250000000009,7.222222222222221,-6.484375000000009,10.833333333333336,-5.921875000000009,3.05555555555555,-4.484375000000006,15.211267605633793,-4.468750000000006,25.915492957746466,-4.265625000000007,14.084507042253506,-2.7968750000000053,17.605633802816897,-3.1093750000000053,18.30985915492957,-2.8750000000000044,8.450704225352126,,,-1.952380952380957,3.943661971830984,,,-4.375000000000007,8.055555555555543,-4.500000000000006,14.166666666666657,-4.171875000000006,6.111111111111114
-6.703125000000009,5.070422535211264,-6.484375000000009,12.957746478873233,-5.968750000000009,2.8169014084507005,-6.125000000000009,8.05555555555555,-6.375000000000009,11.111111111111107,-5.843750000000008,4.722222222222214,-4.390625000000006,16.33802816901408,-4.406250000000007,25.915492957746466,-4.156250000000006,15.211267605633793,-2.7187500000000044,19.718309859154914,-3.0000000000000053,21.83098591549296,-2.7656250000000044,9.15492957746477,,,-1.8412698412698454,4.08450704225352,,,-4.343750000000006,8.888888888888886,-4.437500000000007,15.277777777777771,-4.109375000000006,7.2222222222222285
-6.640625000000009,4.2253521126760525,-6.421875000000009,12.394366197183093,-5.875000000000008,3.3802816901408406,-6.078125000000009,7.777777777777779,-6.312500000000009,10.555555555555557,-5.781250000000009,5.833333333333329,-4.281250000000006,16.901408450704224,-4.343750000000006,25.352112676056322,-4.000000000000006,15.211267605633793,-2.6406250000000044,21.83098591549296,-2.8750000000000044,26.056338028168994,-2.6250000000000044,10.563380281690115,,,-1.7460317460317505,3.943661971830984,,,-4.296875000000006,8.055555555555543,-4.359375000000006,15,-4.046875000000006,6.944444444444429
-6.593750000000009,3.943661971830984,-6.312500000000009,11.549295774647884,-5.812500000000008,3.6619718309859124,-5.984375000000009,9.166666666666664,-6.250000000000009,10,-5.734375000000008,7.222222222222221,-4.218750000000006,18.591549295774655,-4.265625000000007,23.66197183098592,-3.8750000000000053,15.211267605633793,-2.5781250000000044,24.64788732394365,-2.7968750000000053,29.577464788732414,-2.5156250000000036,11.267605633802816,,,-1.6507936507936547,3.8028169014084483,,,-4.265625000000007,9.166666666666657,-4.296875000000006,15.555555555555543,-3.9531250000000053,6.111111111111114
-6.546875000000009,3.6619718309859124,-6.203125000000009,10.98591549295774,-5.750000000000008,3.0985915492957723,-5.890625000000009,10,-6.171875000000009,10.277777777777779,-5.656250000000008,8.333333333333329,-4.125000000000005,18.591549295774655,-4.218750000000006,22.535211267605632,-3.765625000000006,14.084507042253506,-2.5312500000000044,26.760563380281695,-2.6875000000000044,32.394366197183075,-2.4375000000000044,11.971830985915489,,,-1.5079365079365115,3.3802816901408477,,,-4.218750000000006,10,-4.250000000000006,16.388888888888886,-3.8750000000000053,5.555555555555543
-6.515625000000009,4.788732394366193,-6.125000000000009,10.140845070422532,-5.640625000000007,2.8169014084507005,-5.812500000000008,10.833333333333336,-6.078125000000009,10.833333333333336,-5.593750000000008,8.888888888888886,-4.046875000000006,19.718309859154914,-4.156250000000006,22.535211267605632,-3.6406250000000053,13.521126760563362,-2.4687500000000044,25.35211267605635,-2.5937500000000044,35.21126760563379,-2.3437500000000036,11.267605633802816,,,-1.380952380952385,3.098591549295776,,,-4.156250000000006,11.388888888888886,-4.187500000000006,17.77777777777777,-3.7812500000000053,5.2777777777777715
-6.484375000000009,5.633802816901408,-6.031250000000009,10.140845070422532,-5.546875000000008,2.2535211267605604,-5.718750000000008,11.666666666666664,-6.015625000000009,12.222222222222221,-5.531250000000008,10,-3.9843750000000053,19.718309859154914,-4.109375000000006,23.66197183098592,-3.546875000000006,12.957746478873219,-2.4062500000000036,22.535211267605632,-2.5312500000000044,35.915492957746494,-2.2187500000000044,9.859154929577471,,,-1.2539682539682566,2.95774647887324,,,-4.109375000000006,12.222222222222229,-4.109375000000006,16.944444444444457,-3.718750000000006,3.8888888888888857
-6.421875000000009,5.633802816901408,-5.875000000000008,10.422535211267604,-5.437500000000008,2.2535211267605604,-5.625000000000008,12.222222222222221,-5.937500000000009,13.055555555555557,-5.453125000000007,9.444444444444443,-3.906250000000006,18.02816901408451,-4.031250000000006,22.535211267605632,-3.4531250000000053,11.83098591549296,-2.3281250000000044,22.535211267605632,-2.4687500000000044,34.50704225352112,-2.1093750000000036,7.746478873239425,,,-1.1587301587301617,2.2535211267605604,,,-4.046875000000006,12.777777777777771,-4.062500000000006,16.666666666666657,-3.6250000000000053,3.6111111111111143
-6.343750000000009,5.633802816901408,-5.750000000000008,10.704225352112669,-5.343750000000008,2.2535211267605604,-5.546875000000008,12.777777777777779,-5.843750000000008,13.611111111111114,-5.359375000000007,9.444444444444443,-3.828125000000006,16.901408450704224,-3.968750000000006,21.97183098591549,-3.3437500000000053,10.704225352112672,-2.2968750000000036,19.718309859154914,-2.4062500000000036,33.098591549295776,-2.0000000000000036,5.6338028169014365,,,-1.0952380952380985,1.6901408450704238,,,-4.000000000000006,12.5,-4.015625000000006,17.5,-3.5312500000000053,3.6111111111111143
